维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
6D,整库_w=5,5,合面积,17,0.7564,-1.1444,-0.8232,1.0058,17星_Ridge_CV-R2_0.7564_OOT-SMOOTH-R2_-1.1444_OOT-RAW-R2_-0.8232_Params_alpha_1.0058.png
3D_V,整库_w=5,5,合平均面积,51,0.6958,-1.1277,-0.8252,2.1821,51星_Ridge_CV-R2_0.6958_OOT-SMOOTH-R2_-1.1277_OOT-RAW-R2_-0.8252_Params_alpha_2.1821.png
6D,整库_w=5,5,合平均面积,12,0.5402,-1.14,-0.8307,0.1,12星_Ridge_CV-R2_0.5402_OOT-SMOOTH-R2_-1.1400_OOT-RAW-R2_-0.8307_Params_alpha_0.1000.png
3D,整库_w=5,5,合平均面积,13,0.5476,-1.1527,-0.8324,0.1,13星_Ridge_CV-R2_0.5476_OOT-SMOOTH-R2_-1.1527_OOT-RAW-R2_-0.8324_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合数,16,0.7252,-1.1326,-0.8385,4.8155,16星_Ridge_CV-R2_0.7252_OOT-SMOOTH-R2_-1.1326_OOT-RAW-R2_-0.8385_Params_alpha_4.8155.png
6D,整库_w=4,4,合面积,33,0.7786,-1.1673,-0.8462,0.1,33星_Ridge_CV-R2_0.7786_OOT-SMOOTH-R2_-1.1673_OOT-RAW-R2_-0.8462_Params_alpha_0.1000.png
6D,整库_w=5,5,合面积,25,0.7963,-1.1742,-0.8496,0.8423,25星_Ridge_CV-R2_0.7963_OOT-SMOOTH-R2_-1.1742_OOT-RAW-R2_-0.8496_Params_alpha_0.8423.png
3D_V,整库_w=4,4,合面积,10,0.5103,-1.1762,-0.8529,0.1,10星_Ridge_CV-R2_0.5103_OOT-SMOOTH-R2_-1.1762_OOT-RAW-R2_-0.8529_Params_alpha_0.1000.png
3D_V,整库_w=4,4,合平均面积,30,0.7403,-1.1898,-0.8539,0.7239,30星_Ridge_CV-R2_0.7403_OOT-SMOOTH-R2_-1.1898_OOT-RAW-R2_-0.8539_Params_alpha_0.7239.png
3D_V,整库_w=5,5,合平均面积,35,0.7411,-1.199,-0.8686,1.5223,35星_Ridge_CV-R2_0.7411_OOT-SMOOTH-R2_-1.1990_OOT-RAW-R2_-0.8686_Params_alpha_1.5223.png
6D,整库_w=5,5,合面积,22,0.7955,-1.2161,-0.8766,0.1,22星_Ridge_CV-R2_0.7955_OOT-SMOOTH-R2_-1.2161_OOT-RAW-R2_-0.8766_Params_alpha_0.1000.png
6D,整库_w=4,4,合面积,10,0.5451,-1.2181,-0.8797,9.1562,10星_Ridge_CV-R2_0.5451_OOT-SMOOTH-R2_-1.2181_OOT-RAW-R2_-0.8797_Params_alpha_9.1562.png
