维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
6D,整库_w=5,5,合面积,36,0.4392,-0.5576,-0.3985,53.6841,36星_Ridge_CV-R2_0.4392_OOT-SMOOTH-R2_-0.5576_OOT-RAW-R2_-0.3985_Params_alpha_53.6841.png
6D,整库_w=5,5,合面积,37,0.4331,-0.5728,-0.41,56.2465,37星_Ridge_CV-R2_0.4331_OOT-SMOOTH-R2_-0.5728_OOT-RAW-R2_-0.4100_Params_alpha_56.2465.png
3D_V,整库_w=5,5,合面积,37,0.4491,-0.5846,-0.4194,11.1321,37星_Ridge_CV-R2_0.4491_OOT-SMOOTH-R2_-0.5846_OOT-RAW-R2_-0.4194_Params_alpha_11.1321.png
6D,整库_w=5,5,合面积,35,0.4444,-0.6017,-0.4303,54.0899,35星_Ridge_CV-R2_0.4444_OOT-SMOOTH-R2_-0.6017_OOT-RAW-R2_-0.4303_Params_alpha_54.0899.png
3D_V,整库_w=4,4,合数,19,0.4248,-0.5905,-0.4358,4.363,19星_Ridge_CV-R2_0.4248_OOT-SMOOTH-R2_-0.5905_OOT-RAW-R2_-0.4358_Params_alpha_4.3630.png
3D_V,整库_w=4,4,合数,20,0.405,-0.5926,-0.4371,3.9153,20星_Ridge_CV-R2_0.4050_OOT-SMOOTH-R2_-0.5926_OOT-RAW-R2_-0.4371_Params_alpha_3.9153.png
6D,整库_w=5,5,合面积,34,0.4593,-0.6331,-0.4526,41.4635,34星_Ridge_CV-R2_0.4593_OOT-SMOOTH-R2_-0.6331_OOT-RAW-R2_-0.4526_Params_alpha_41.4635.png
6D,整库_w=5,5,合面积,29,0.4783,-0.6612,-0.4747,48.7434,29星_Ridge_CV-R2_0.4783_OOT-SMOOTH-R2_-0.6612_OOT-RAW-R2_-0.4747_Params_alpha_48.7434.png
6D,整库_w=5,5,合面积,28,0.493,-0.6645,-0.4773,48.8585,28星_Ridge_CV-R2_0.4930_OOT-SMOOTH-R2_-0.6645_OOT-RAW-R2_-0.4773_Params_alpha_48.8585.png
6D,整库_w=5,5,合面积,30,0.4747,-0.6705,-0.4808,48.1056,30星_Ridge_CV-R2_0.4747_OOT-SMOOTH-R2_-0.6705_OOT-RAW-R2_-0.4808_Params_alpha_48.1056.png
6D,整库_w=5,5,合面积,31,0.4794,-0.7149,-0.5131,41.7226,31星_Ridge_CV-R2_0.4794_OOT-SMOOTH-R2_-0.7149_OOT-RAW-R2_-0.5131_Params_alpha_41.7226.png
