维度模式,Sheet名称,w值,排序标准,星数,CV_R2,OOT_SMOOTH_R2,OOT_RAW_R2,alpha,完整文件名
3D_V,整库_w=5,5,合面积,47,0.5173,-0.2026,-0.1417,10.6327,47星_Ridge_CV-R2_0.5173_OOT-SMOOTH-R2_-0.2026_OOT-RAW-R2_-0.1417_Params_alpha_10.6327.png
3D_V,整库_w=4,4,合数,8,0.632,-0.1976,-0.1504,0.001,8星_Ridge_CV-R2_0.6320_OOT-SMOOTH-R2_-0.1976_OOT-RAW-R2_-0.1504_Params_alpha_0.0010.png
6D,整库_w=5,5,合平均面积,9,0.6368,-0.2255,-0.1572,0.001,9星_Ridge_CV-R2_0.6368_OOT-SMOOTH-R2_-0.2255_OOT-RAW-R2_-0.1572_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,33,0.5771,-0.2241,-0.1588,1.4115,33星_Ridge_CV-R2_0.5771_OOT-SMOOTH-R2_-0.2241_OOT-RAW-R2_-0.1588_Params_alpha_1.4115.png
3D_V,整库_w=5,5,合平均面积,41,0.6235,-0.2223,-0.1593,6.2775,41星_Ridge_CV-R2_0.6235_OOT-SMOOTH-R2_-0.2223_OOT-RAW-R2_-0.1593_Params_alpha_6.2775.png
6D,整库_w=4,4,合面积,7,0.7467,-0.2649,-0.1859,0.001,7星_Ridge_CV-R2_0.7467_OOT-SMOOTH-R2_-0.2649_OOT-RAW-R2_-0.1859_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,45,0.5341,-0.2697,-0.1909,9.0269,45星_Ridge_CV-R2_0.5341_OOT-SMOOTH-R2_-0.2697_OOT-RAW-R2_-0.1909_Params_alpha_9.0269.png
3D_V,整库_w=5,5,合面积,32,0.5859,-0.2703,-0.1923,1.3237,32星_Ridge_CV-R2_0.5859_OOT-SMOOTH-R2_-0.2703_OOT-RAW-R2_-0.1923_Params_alpha_1.3237.png
3D_V,整库_w=5,5,合面积,23,0.6211,-0.2755,-0.1957,0.4453,23星_Ridge_CV-R2_0.6211_OOT-SMOOTH-R2_-0.2755_OOT-RAW-R2_-0.1957_Params_alpha_0.4453.png
3D_V,整库_w=4,4,合数,16,0.6772,-0.2698,-0.1994,0.0017,16星_Ridge_CV-R2_0.6772_OOT-SMOOTH-R2_-0.2698_OOT-RAW-R2_-0.1994_Params_alpha_0.0017.png
3D_V,整库_w=5,5,合面积,46,0.5335,-0.2905,-0.2059,10.0856,46星_Ridge_CV-R2_0.5335_OOT-SMOOTH-R2_-0.2905_OOT-RAW-R2_-0.2059_Params_alpha_10.0856.png
3D_V,整库_w=5,5,合面积,48,0.4977,-0.3118,-0.2215,13.5322,48星_Ridge_CV-R2_0.4977_OOT-SMOOTH-R2_-0.3118_OOT-RAW-R2_-0.2215_Params_alpha_13.5322.png
6D,整库_w=5,5,合面积,7,0.7495,-0.3193,-0.2259,0.001,7星_Ridge_CV-R2_0.7495_OOT-SMOOTH-R2_-0.3193_OOT-RAW-R2_-0.2259_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,21,0.6476,-0.3208,-0.2293,0.3519,21星_Ridge_CV-R2_0.6476_OOT-SMOOTH-R2_-0.3208_OOT-RAW-R2_-0.2293_Params_alpha_0.3519.png
3D_V,整库_w=5,5,合面积,9,0.647,-0.3324,-0.2375,0.001,9星_Ridge_CV-R2_0.6470_OOT-SMOOTH-R2_-0.3324_OOT-RAW-R2_-0.2375_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,10,0.64,-0.3331,-0.238,0.001,10星_Ridge_CV-R2_0.6400_OOT-SMOOTH-R2_-0.3331_OOT-RAW-R2_-0.2380_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合平均面积,18,0.7236,-0.3301,-0.2384,0.001,18星_Ridge_CV-R2_0.7236_OOT-SMOOTH-R2_-0.3301_OOT-RAW-R2_-0.2384_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,22,0.6329,-0.338,-0.2417,0.4309,22星_Ridge_CV-R2_0.6329_OOT-SMOOTH-R2_-0.3380_OOT-RAW-R2_-0.2417_Params_alpha_0.4309.png
3D_V,整库_w=4,4,合数,15,0.6841,-0.3349,-0.2464,0.0015,15星_Ridge_CV-R2_0.6841_OOT-SMOOTH-R2_-0.3349_OOT-RAW-R2_-0.2464_Params_alpha_0.0015.png
3D_V,整库_w=4,4,合数,14,0.695,-0.3527,-0.2609,0.002,14星_Ridge_CV-R2_0.6950_OOT-SMOOTH-R2_-0.3527_OOT-RAW-R2_-0.2609_Params_alpha_0.0020.png
3D,整库_w=4,4,合平均面积,22,0.7692,-0.3801,-0.2691,0.0912,22星_Ridge_CV-R2_0.7692_OOT-SMOOTH-R2_-0.3801_OOT-RAW-R2_-0.2691_Params_alpha_0.0912.png
3D,整库_w=4,4,合平均面积,21,0.7722,-0.3933,-0.2785,0.0855,21星_Ridge_CV-R2_0.7722_OOT-SMOOTH-R2_-0.3933_OOT-RAW-R2_-0.2785_Params_alpha_0.0855.png
3D_V,整库_w=5,5,合面积,31,0.5876,-0.3915,-0.2809,1.2625,31星_Ridge_CV-R2_0.5876_OOT-SMOOTH-R2_-0.3915_OOT-RAW-R2_-0.2809_Params_alpha_1.2625.png
6D,整库_w=4,4,合面积,11,0.731,-0.4024,-0.2822,0.001,11星_Ridge_CV-R2_0.7310_OOT-SMOOTH-R2_-0.4024_OOT-RAW-R2_-0.2822_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合面积,8,0.6326,-0.3952,-0.2828,0.001,8星_Ridge_CV-R2_0.6326_OOT-SMOOTH-R2_-0.3952_OOT-RAW-R2_-0.2828_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合面积,9,0.618,-0.3993,-0.2858,0.001,9星_Ridge_CV-R2_0.6180_OOT-SMOOTH-R2_-0.3993_OOT-RAW-R2_-0.2858_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,11,0.6279,-0.4161,-0.2987,0.001,11星_Ridge_CV-R2_0.6279_OOT-SMOOTH-R2_-0.4161_OOT-RAW-R2_-0.2987_Params_alpha_0.0010.png
6D,整库_w=4,4,合平均面积,20,0.7179,-0.4342,-0.3076,0.8461,20星_Ridge_CV-R2_0.7179_OOT-SMOOTH-R2_-0.4342_OOT-RAW-R2_-0.3076_Params_alpha_0.8461.png
6D,整库_w=4,4,合平均面积,23,0.6923,-0.4353,-0.3081,1.0573,23星_Ridge_CV-R2_0.6923_OOT-SMOOTH-R2_-0.4353_OOT-RAW-R2_-0.3081_Params_alpha_1.0573.png
3D,整库_w=4,4,合数,12,0.8029,-0.4272,-0.309,0.001,12星_Ridge_CV-R2_0.8029_OOT-SMOOTH-R2_-0.4272_OOT-RAW-R2_-0.3090_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合面积,12,0.6116,-0.4425,-0.3167,0.001,12星_Ridge_CV-R2_0.6116_OOT-SMOOTH-R2_-0.4425_OOT-RAW-R2_-0.3167_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合平均面积,46,0.5367,-0.4543,-0.3273,8.0617,46星_Ridge_CV-R2_0.5367_OOT-SMOOTH-R2_-0.4543_OOT-RAW-R2_-0.3273_Params_alpha_8.0617.png
6D,整库_w=4,4,合平均面积,21,0.697,-0.4682,-0.3321,0.8194,21星_Ridge_CV-R2_0.6970_OOT-SMOOTH-R2_-0.4682_OOT-RAW-R2_-0.3321_Params_alpha_0.8194.png
3D_V,整库_w=4,4,合面积,10,0.6101,-0.4721,-0.3385,0.001,10星_Ridge_CV-R2_0.6101_OOT-SMOOTH-R2_-0.4721_OOT-RAW-R2_-0.3385_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合面积,29,0.6057,-0.4759,-0.3413,0.9821,29星_Ridge_CV-R2_0.6057_OOT-SMOOTH-R2_-0.4759_OOT-RAW-R2_-0.3413_Params_alpha_0.9821.png
6D,整库_w=4,4,合平均面积,24,0.6951,-0.4849,-0.344,1.2299,24星_Ridge_CV-R2_0.6951_OOT-SMOOTH-R2_-0.4849_OOT-RAW-R2_-0.3440_Params_alpha_1.2299.png
3D_V,整库_w=5,5,合面积,30,0.5903,-0.4895,-0.3513,1.2012,30星_Ridge_CV-R2_0.5903_OOT-SMOOTH-R2_-0.4895_OOT-RAW-R2_-0.3513_Params_alpha_1.2012.png
3D_V,整库_w=5,5,合平均面积,19,0.7143,-0.4873,-0.3524,0.001,19星_Ridge_CV-R2_0.7143_OOT-SMOOTH-R2_-0.4873_OOT-RAW-R2_-0.3524_Params_alpha_0.0010.png
3D,整库_w=4,4,合数,13,0.7986,-0.4913,-0.3555,0.001,13星_Ridge_CV-R2_0.7986_OOT-SMOOTH-R2_-0.4913_OOT-RAW-R2_-0.3555_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合平均面积,45,0.5513,-0.5106,-0.3704,8.7698,45星_Ridge_CV-R2_0.5513_OOT-SMOOTH-R2_-0.5106_OOT-RAW-R2_-0.3704_Params_alpha_8.7698.png
3D_V,整库_w=4,4,合面积,13,0.6139,-0.5159,-0.3712,0.001,13星_Ridge_CV-R2_0.6139_OOT-SMOOTH-R2_-0.5159_OOT-RAW-R2_-0.3712_Params_alpha_0.0010.png
6D,整库_w=5,5,合面积,8,0.7449,-0.528,-0.3785,0.001,8星_Ridge_CV-R2_0.7449_OOT-SMOOTH-R2_-0.5280_OOT-RAW-R2_-0.3785_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合数,9,0.7078,-0.5559,-0.4069,0.001,9星_Ridge_CV-R2_0.7078_OOT-SMOOTH-R2_-0.5559_OOT-RAW-R2_-0.4069_Params_alpha_0.0010.png
6D,整库_w=4,4,合平均面积,22,0.6922,-0.5756,-0.4107,0.9356,22星_Ridge_CV-R2_0.6922_OOT-SMOOTH-R2_-0.5756_OOT-RAW-R2_-0.4107_Params_alpha_0.9356.png
3D,整库_w=4,4,合数,14,0.7928,-0.5681,-0.4112,0.001,14星_Ridge_CV-R2_0.7928_OOT-SMOOTH-R2_-0.5681_OOT-RAW-R2_-0.4112_Params_alpha_0.0010.png
3D_V,整库_w=5,5,合平均面积,10,0.6402,-0.5935,-0.4181,0.0089,10星_Ridge_CV-R2_0.6402_OOT-SMOOTH-R2_-0.5935_OOT-RAW-R2_-0.4181_Params_alpha_0.0089.png
3D_V,整库_w=4,4,合平均面积,28,0.7174,-0.603,-0.4305,0.2574,28星_Ridge_CV-R2_0.7174_OOT-SMOOTH-R2_-0.6030_OOT-RAW-R2_-0.4305_Params_alpha_0.2574.png
3D,整库_w=4,4,合数,15,0.7813,-0.5964,-0.4316,0.001,15星_Ridge_CV-R2_0.7813_OOT-SMOOTH-R2_-0.5964_OOT-RAW-R2_-0.4316_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合数,10,0.7021,-0.5948,-0.4355,0.001,10星_Ridge_CV-R2_0.7021_OOT-SMOOTH-R2_-0.5948_OOT-RAW-R2_-0.4355_Params_alpha_0.0010.png
6D,整库_w=4,4,合平均面积,13,0.7152,-0.619,-0.4453,0.0904,13星_Ridge_CV-R2_0.7152_OOT-SMOOTH-R2_-0.6190_OOT-RAW-R2_-0.4453_Params_alpha_0.0904.png
3D,整库_w=4,4,合平均面积,20,0.7707,-0.6223,-0.4467,0.1035,20星_Ridge_CV-R2_0.7707_OOT-SMOOTH-R2_-0.6223_OOT-RAW-R2_-0.4467_Params_alpha_0.1035.png
3D_V,整库_w=4,4,合平均面积,31,0.6853,-0.6525,-0.4658,0.3935,31星_Ridge_CV-R2_0.6853_OOT-SMOOTH-R2_-0.6525_OOT-RAW-R2_-0.4658_Params_alpha_0.3935.png
3D,整库_w=4,4,合数,16,0.7756,-0.6483,-0.4729,0.001,16星_Ridge_CV-R2_0.7756_OOT-SMOOTH-R2_-0.6483_OOT-RAW-R2_-0.4729_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合平均面积,30,0.7075,-0.6687,-0.4776,0.3446,30星_Ridge_CV-R2_0.7075_OOT-SMOOTH-R2_-0.6687_OOT-RAW-R2_-0.4776_Params_alpha_0.3446.png
3D,整库_w=4,4,合数,18,0.8333,-0.6708,-0.4832,0.001,18星_Ridge_CV-R2_0.8333_OOT-SMOOTH-R2_-0.6708_OOT-RAW-R2_-0.4832_Params_alpha_0.0010.png
3D_V,整库_w=4,4,合平均面积,32,0.6714,-0.6848,-0.489,0.6133,32星_Ridge_CV-R2_0.6714_OOT-SMOOTH-R2_-0.6848_OOT-RAW-R2_-0.4890_Params_alpha_0.6133.png
3D_V,整库_w=4,4,合平均面积,33,0.6656,-0.686,-0.4901,0.6254,33星_Ridge_CV-R2_0.6656_OOT-SMOOTH-R2_-0.6860_OOT-RAW-R2_-0.4901_Params_alpha_0.6254.png
3D_V,整库_w=4,4,合平均面积,29,0.7138,-0.6852,-0.4904,0.3396,29星_Ridge_CV-R2_0.7138_OOT-SMOOTH-R2_-0.6852_OOT-RAW-R2_-0.4904_Params_alpha_0.3396.png
3D_V,整库_w=4,4,合数,11,0.6896,-0.6887,-0.5037,0.001,11星_Ridge_CV-R2_0.6896_OOT-SMOOTH-R2_-0.6887_OOT-RAW-R2_-0.5037_Params_alpha_0.0010.png
