Body,Window,Type,k_obs,k_exp,Ratio_Freq,Avg_Area,Ratio_Amp,p_val,Effect,Stage,p_adj_bh,sig_fdr
999_lon,5,Conjunction,1118,1116.74,100.11,333.21,109.75,0.9776860567772876,Enhancement,Flare_All,0.9964775667572723,False
999_lon,5,Opposition,1083,1081.84,100.11,258.89,85.2699966430664,0.9799488447412016,Enhancement,Flare_All,0.9982256158927537,False
999_lon,6,Conjunction,1358,1339.86,101.35,332.42,109.48999786376952,0.6216219852307617,Enhancement,Flare_All,0.7633439787189071,False
999_lon,6,Opposition,1280,1298.65,98.56,254.69,83.88999938964844,0.6107979853585171,Suppression,Flare_All,0.8057993691976383,False
999_lon,7,Conjunction,1591,1562.95,101.79,324.46,106.87000274658205,0.475789825030205,Enhancement,Flare_All,0.6451247453968578,False
999_lon,7,Opposition,1495,1515.52,98.65,245.32,80.80999755859375,0.6019248029966034,Suppression,Flare_All,0.7994953590822232,False
999_lon,8,Conjunction,1827,1785.61,102.32,325.67,107.2699966430664,0.3218999876533084,Enhancement,Flare_All,0.4834690199177574,False
999_lon,8,Opposition,1747,1732.42,100.84,255.79,84.25,0.7267838035289969,Enhancement,Flare_All,0.8773078061146006,False
999_lon,9,Conjunction,2037,2009.14,101.39,322.02,106.06999969482422,0.529425780336766,Enhancement,Flare_All,0.6734226945325965,False
999_lon,9,Opposition,1982,1948.73,101.71,263.24,86.70999908447266,0.4454418713589207,Enhancement,Flare_All,0.6658584952350974,False
999_lon,10,Conjunction,2264,2232.48,101.41,335.65,110.55999755859376,0.4978954815574419,Enhancement,Flare_All,0.64641315679067,False
999_lon,10,Opposition,2205,2165.38,101.83,275.96,90.9000015258789,0.3866092239762143,Enhancement,Flare_All,0.5908635583911118,False
136108_lon,1,Conjunction,238,217.57,109.39,414.24,136.44000244140625,0.1782138671530566,Enhancement,Flare_All,0.5948078215663982,False
136108_lon,1,Opposition,202,224.69,89.9,315.64,103.97000122070312,0.1339538115414044,Suppression,Flare_All,0.5680987588983274,False
136108_lon,2,Conjunction,494,436.93,113.06,334.11,110.0500030517578,0.0074930922880923,Enhancement,Flare_All,0.19207280775037844,False
136108_lon,2,Opposition,454,448.6,101.2,274.25,90.33000183105467,0.8102446503150931,Enhancement,Flare_All,0.9660962944239445,False
136108_lon,3,Conjunction,711,658.2,108.02,278.23,91.63999938964844,0.0417308313423653,Enhancement,Flare_All,0.22021472485396823,False
136108_lon,3,Opposition,661,671.43,98.45,294.02,96.8499984741211,0.7029175166741574,Suppression,Flare_All,0.9197709186763339,False
136108_lon,4,Conjunction,938,881.66,106.39,262.83,86.56999969482422,0.0589443429275781,Enhancement,Flare_All,0.2192168182211357,False
136108_lon,4,Opposition,872,895.1,97.42,307.35,101.23999786376952,0.4460700544194889,Suppression,Flare_All,0.7459972430441559,False
136108_lon,5,Conjunction,1154,1105.55,104.38,269.08,88.62999725341797,0.1448979115929629,Enhancement,Flare_All,0.34292505743667884,False
136108_lon,5,Opposition,1071,1119.1,95.7,283.45,93.36000061035156,0.1473110451302267,Suppression,Flare_All,0.3772128729400231,False
