Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
Daily,Small <100,3,Conjunction,8268,1483,1104.28,134.3,0.055194480551944806,2.09,Enhancement
Daily,Small <100,4,Opposition,8268,1367,1467.82,93.13,0.8009199080091991,-0.41,Suppression
Daily,Small <100,4,Conjunction,8268,1980,1472.37,134.48,0.054594540545945404,2.06,Enhancement
Daily,Small <100,5,Opposition,8268,1694,1834.77,92.33,0.8445155484451555,-0.48,Suppression
Daily,Small <100,5,Conjunction,8268,2442,1840.47,132.68,0.08639136086391361,1.99,Enhancement
Daily,Medium 100-500,1,Opposition,29,0,1.27,0.0,0.5515448455154485,-1.13,Suppression
Daily,Medium 100-500,1,Conjunction,29,2,1.31,152.89,0.7443255674432556,0.59,Enhancement
Daily,Medium 100-500,2,Opposition,29,1,2.55,39.27,0.5531446855314468,-0.97,Suppression
Daily,Medium 100-500,2,Conjunction,29,2,2.62,76.45,1.0,-0.35,Suppression
Daily,Medium 100-500,3,Opposition,29,2,3.82,52.36,0.5317468253174683,-0.93,Suppression
Daily,Medium 100-500,3,Conjunction,29,4,3.92,101.93,1.0,0.03,Enhancement
Daily,Medium 100-500,4,Opposition,29,3,5.09,58.91,0.501949805019498,-0.93,Suppression
Daily,Medium 100-500,4,Conjunction,29,4,5.23,76.45,0.8033196680331967,-0.53,Suppression
Daily,Medium 100-500,5,Opposition,29,5,6.37,78.54,0.7801219878012199,-0.54,Suppression
Daily,Medium 100-500,5,Conjunction,29,8,6.54,122.31,0.6843315668433156,0.55,Enhancement
Daily,Large 500-2000,1,Opposition,4,0,0.18,0.0,1.0,-0.42,Suppression
Daily,Large 500-2000,1,Conjunction,4,0,0.18,0.0,1.0,-0.42,Suppression
Daily,Large 500-2000,2,Opposition,4,0,0.36,0.0,1.0,-0.61,Suppression
Daily,Large 500-2000,2,Conjunction,4,0,0.35,0.0,1.0,-0.61,Suppression
Daily,Large 500-2000,3,Opposition,4,0,0.54,0.0,1.0,-0.75,Suppression
Daily,Large 500-2000,3,Conjunction,4,1,0.53,190.41,0.8473152684731526,0.65,Enhancement
Daily,Large 500-2000,4,Opposition,4,0,0.72,0.0,0.9693030696930307,-0.85,Suppression
Daily,Large 500-2000,4,Conjunction,4,1,0.7,142.81,1.0,0.38,Enhancement
Daily,Large 500-2000,5,Opposition,4,0,0.9,0.0,0.8013198680131987,-0.96,Suppression
Daily,Large 500-2000,5,Conjunction,4,2,0.88,228.49,0.42515748425157485,1.24,Enhancement
Daily,Total,1,Opposition,8301,338,368.41,91.75,1.0,-0.46,Suppression
Daily,Total,1,Conjunction,8301,502,369.58,135.83,0.052394760523947606,2.14,Enhancement
Daily,Total,2,Opposition,8301,701,736.82,95.14,0.7865213478652134,-0.27,Suppression
Daily,Total,2,Conjunction,8301,985,739.15,133.26,0.0795920407959204,1.97,Enhancement
Daily,Total,3,Opposition,8301,1038,1105.22,93.92,0.8125187481251874,-0.37,Suppression
Daily,Total,3,Conjunction,8301,1488,1108.73,134.21,0.06059394060593941,2.07,Enhancement
Daily,Total,4,Opposition,8301,1370,1473.63,92.97,0.8169183081691831,-0.42,Suppression
Daily,Total,4,Conjunction,8301,1985,1478.3,134.28,0.05219478052194781,2.09,Enhancement
Daily,Total,5,Opposition,8301,1699,1842.04,92.23,0.8425157484251575,-0.48,Suppression
Daily,Total,5,Conjunction,8301,2452,1847.88,132.69,0.07799220077992201,2.01,Enhancement
