Stage,Group,Window,Type,N_Records,k_obs,k_exp,k_exp_kepler,Ratio,p_val,Z_score,Effect,Source_File,Domain,q_group_type,n_group_type,q_group_all,n_group_all,q_file,n_file
Flare_All,C-Class,12,Conjunction,26654,13016,12446.94,12445.58,104.57,0.0093598128037439,2.53,Enhancement,sf_algo1_total_pairs.csv,sf,0.025526762192028818,30.0,0.051053524384057636,60.0,0.12208451483144218,300.0
Flare_All,C-Class,13,Conjunction,26654,14075,13484.65,13482.76,104.38,0.0120797584048319,2.48,Enhancement,sf_algo1_total_pairs.csv,sf,0.030199396012079754,30.0,0.06039879202415951,60.0,0.1449571008579828,300.0
Flare_All,C-Class,14,Conjunction,26654,15155,14520.65,14519.9,104.37,0.0092398152036959,2.54,Enhancement,sf_algo1_total_pairs.csv,sf,0.025526762192028818,30.0,0.051053524384057636,60.0,0.12208451483144218,300.0
Flare_All,C-Class,15,Conjunction,26654,16151,15556.63,15557.0,103.82,0.0201195976080478,2.27,Enhancement,sf_algo1_total_pairs.csv,sf,0.03974038166295494,30.0,0.07948076332590988,60.0,0.20051211878988193,300.0
Flare_All,C-Class,16,Conjunction,26654,17247,16594.37,16594.13,103.93,0.0139997200055998,2.41,Enhancement,sf_algo1_total_pairs.csv,sf,0.03230704616676877,30.0,0.06461409233353754,60.0,0.154711191490455,300.0
Flare_All,C-Class,17,Conjunction,26654,18272,17629.46,17631.25,103.64,0.0186396272074558,2.26,Enhancement,sf_algo1_total_pairs.csv,sf,0.03974038166295494,30.0,0.07948076332590988,60.0,0.19282372973230139,300.0
Flare_All,C-Class,18,Conjunction,26654,19317,18668.15,18668.41,103.48,0.0223195536089278,2.21,Enhancement,sf_algo1_total_pairs.csv,sf,0.03974038166295494,30.0,0.07948076332590988,60.0,0.20472317826370726,300.0
Flare_All,C-Class,19,Conjunction,26654,20316,19706.97,19705.59,103.09,0.0408791824163516,1.99,Enhancement,sf_algo1_total_pairs.csv,sf,0.06454607749950253,30.0,0.12909215499900506,60.0,0.31053037475835804,300.0
Flare_All,C-Class,20,Conjunction,26654,21373,20739.97,20742.72,103.05,0.0386792264154716,2.01,Enhancement,sf_algo1_total_pairs.csv,sf,0.06446537735911934,30.0,0.12893075471823867,60.0,0.31053037475835804,300.0
Flare_All,C-Class,21,Conjunction,26654,22390,21778.69,21779.81,102.81,0.0523189536209275,1.87,Enhancement,sf_algo1_total_pairs.csv,sf,0.07474136231561071,30.0,0.14948272463122142,60.0,0.33395076779315425,300.0
Flare_All,C-Class,22,Conjunction,26654,23424,22816.51,22816.84,102.66,0.0605187896242075,1.82,Enhancement,sf_algo1_total_pairs.csv,sf,0.08252562221482841,30.0,0.16505124442965682,60.0,0.37468638382334385,300.0
Flare_All,C-Class,23,Conjunction,26654,24479,23855.25,23853.82,102.61,0.0650386992260154,1.81,Enhancement,sf_algo1_total_pairs.csv,sf,0.08483308594697661,30.0,0.16966617189395322,60.0,0.3839923201535964,300.0
Flare_All,C-Class,24,Conjunction,26654,25494,24890.46,24890.73,102.42,0.0832383352332953,1.7,Enhancement,sf_algo1_total_pairs.csv,sf,0.09604423296149457,30.0,0.19208846592298914,60.0,0.42324577237268796,300.0
Flare_All,C-Class,25,Conjunction,26654,26554,25926.39,25927.65,102.42,0.0739185216295674,1.72,Enhancement,sf_algo1_total_pairs.csv,sf,0.08870222595548087,30.0,0.17740445191096174,60.0,0.40319193616127674,300.0
Flare_All,C-Class,26,Conjunction,26654,27618,26963.87,26964.61,102.43,0.0733185336293274,1.75,Enhancement,sf_algo1_total_pairs.csv,sf,0.08870222595548087,30.0,0.17740445191096174,60.0,0.40319193616127674,300.0
Flare_All,C-Class,27,Conjunction,26654,28617,28000.98,28001.59,102.2,0.1017579648407031,1.6,Enhancement,sf_algo1_total_pairs.csv,sf,0.11306440537855901,30.0,0.22612881075711802,60.0,0.5087898242035155,300.0
Flare_All,C-Class,28,Conjunction,26654,29634,29040.95,29038.52,102.04,0.1281974360512789,1.5,Enhancement,sf_algo1_total_pairs.csv,sf,0.1309973800523989,30.0,0.2619947601047978,60.0,0.603987920241595,300.0
Flare_All,C-Class,29,Conjunction,26654,30677,30071.76,30075.43,102.01,0.1305173896522069,1.5,Enhancement,sf_algo1_total_pairs.csv,sf,0.1309973800523989,30.0,0.2619947601047978,60.0,0.603987920241595,300.0
Flare_All,C-Class,30,Conjunction,26654,31733,31114.12,31112.42,101.99,0.1309973800523989,1.5,Enhancement,sf_algo1_total_pairs.csv,sf,0.1309973800523989,30.0,0.2619947601047978,60.0,0.603987920241595,300.0
Flare_All,C-Class,1,Opposition,26654,1070,1036.76,1037.05,103.21,0.3878322433551329,0.89,Enhancement,sf_algo1_total_pairs.csv,sf,0.971637710102941,30.0,0.7238255234895302,60.0,0.9474477177123125,300.0
Flare_All,C-Class,2,Opposition,26654,2077,2074.05,2074.06,100.14,0.9636207275854484,0.05,Enhancement,sf_algo1_total_pairs.csv,sf,0.9968490285366707,30.0,0.9799532822902864,60.0,1.0,300.0
Flare_All,C-Class,3,Opposition,26654,3111,3111.17,3111.01,99.99,0.998620027599448,-0.0,Suppression,sf_algo1_total_pairs.csv,sf,0.998620027599448,30.0,0.998620027599448,60.0,1.0,300.0
Flare_All,C-Class,4,Opposition,26654,4168,4149.57,4147.99,100.44,0.8647027059458811,0.19,Enhancement,sf_algo1_total_pairs.csv,sf,0.971637710102941,30.0,0.9381329614787016,60.0,0.9860878051256181,300.0
