Planet,Angle_Center,Ratio,Z_score,p_val,q_planet,n_planet,q_all_bins,n_all_bins,In_Conjunction_Band
Venus,-115.0,102.43,0.38,0.7241275872412759,0.9973002699730027,36.0,1.0,108,False
Venus,-105.0,100.66,0.1,0.9653034696530348,0.9973002699730027,36.0,1.0,108,False
Venus,-95.0,90.52,-1.48,0.1515848415158484,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,-85.0,84.47,-2.41,0.0073992600739926,0.26637336266373357,36.0,0.7991200879912008,108,False
Venus,-75.0,92.88,-1.1,0.3047695230476952,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,-65.0,90.26,-1.5,0.1393860613938606,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,-55.0,94.88,-0.81,0.4365563443655634,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,-45.0,92.76,-1.13,0.2917708229177082,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,-35.0,104.61,0.74,0.4563543645635436,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,-25.0,100.44,0.07,0.9703029697030296,0.9973002699730027,36.0,1.0,108,False
Venus,-15.0,100.15,0.02,0.9973002699730028,0.9973002699730027,36.0,1.0,108,True
Venus,-5.0,114.32,2.25,0.026997300269973,0.485951404859514,36.0,0.9660748210893196,108,True
Venus,5.0,108.29,1.31,0.183981601839816,0.8649420772208494,36.0,0.9660748210893196,108,True
Venus,15.0,105.42,0.86,0.3875612438756124,0.8649420772208494,36.0,0.9660748210893196,108,True
Venus,25.0,94.28,-0.91,0.3785621437856214,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,35.0,100.02,0.0,0.9747025297470252,0.9973002699730027,36.0,1.0,108,False
Venus,45.0,106.02,0.97,0.3281671832816718,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,55.0,102.64,0.43,0.7183281671832816,0.9973002699730027,36.0,1.0,108,False
Venus,65.0,104.24,0.68,0.5045495450454954,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,75.0,94.82,-0.81,0.4363563643635636,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,85.0,96.19,-0.6,0.5521447855214479,0.9035096490350966,36.0,0.9660748210893196,108,False
Venus,95.0,90.8,-1.47,0.174982501749825,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,105.0,98.17,-0.29,0.7883211678832117,0.9973002699730027,36.0,1.0,108,False
Venus,115.0,101.28,0.2,0.8881111888811118,0.9973002699730027,36.0,1.0,108,False
Venus,125.0,102.94,0.47,0.6741325867413258,0.9973002699730027,36.0,1.0,108,False
Venus,135.0,99.18,-0.13,0.8905109489051095,0.9973002699730027,36.0,1.0,108,False
Venus,145.0,92.73,-1.15,0.2741725827417258,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,155.0,104.59,0.72,0.4947505249475052,0.8649420772208494,36.0,0.9660748210893196,108,False
Venus,165.0,97.42,-0.4,0.6925307469253075,0.9973002699730027,36.0,1.0,108,False
Venus,175.0,106.82,1.06,0.3043695630436956,0.8649420772208494,36.0,0.9660748210893196,108,False
