Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p,Source_File,Domain,Conj_q_file,Conj_n_file,Opp_q_file,Opp_n_file
36,72,5.45,37831,37345.9,101.3,1.05,0.3066,37579,37319.4,100.7,0.5,0.6381,sf_c_class_decay_boundary.csv,sf,0.4221052631578947,50.0,0.9438541666666667,50.0
37,74,5.61,38850,38368.2,101.26,1.02,0.3208,38612,38370.9,100.63,0.46,0.6607,sf_c_class_decay_boundary.csv,sf,0.4221052631578947,50.0,0.9438541666666667,50.0
38,76,5.76,39893,39411.1,101.22,1.02,0.3182,39694,39393.1,100.76,0.55,0.6029,sf_c_class_decay_boundary.csv,sf,0.4221052631578947,50.0,0.9438541666666667,50.0
39,78,5.91,40872,40445.1,101.06,0.88,0.3952,40692,40442.7,100.62,0.45,0.6789,sf_c_class_decay_boundary.csv,sf,0.49399999999999994,50.0,0.9438541666666667,50.0
40,80,6.06,41915,41474.6,101.06,0.91,0.3726,41703,41466.3,100.57,0.42,0.7069,sf_c_class_decay_boundary.csv,sf,0.4776923076923077,50.0,0.9438541666666667,50.0
41,82,6.21,42915,42513.1,100.95,0.82,0.4228,42759,42501.7,100.61,0.45,0.6709,sf_c_class_decay_boundary.csv,sf,0.5128571428571428,50.0,0.9438541666666667,50.0
42,84,6.36,43961,43556.6,100.93,0.8,0.4308,43777,43547.6,100.53,0.39,0.7097,sf_c_class_decay_boundary.csv,sf,0.5128571428571428,50.0,0.9438541666666667,50.0
43,86,6.52,44988,44591.5,100.89,0.78,0.4566,44745,44573.5,100.38,0.29,0.7745,sf_c_class_decay_boundary.csv,sf,0.5188636363636364,50.0,0.9438541666666667,50.0
44,88,6.67,46025,45634.8,100.86,0.76,0.456,45718,45626.5,100.2,0.15,0.8877,sf_c_class_decay_boundary.csv,sf,0.5188636363636364,50.0,0.9438541666666667,50.0
45,90,6.82,46998,46674.7,100.69,0.62,0.5505,46794,46653.2,100.3,0.24,0.8229,sf_c_class_decay_boundary.csv,sf,0.5983695652173913,50.0,0.9438541666666667,50.0
46,92,6.97,48059,47698.1,100.76,0.68,0.5061,47841,47690.6,100.32,0.25,0.8203,sf_c_class_decay_boundary.csv,sf,0.5623333333333334,50.0,0.9438541666666667,50.0
47,94,7.12,49046,48740.1,100.63,0.57,0.5907,48880,48727.8,100.31,0.25,0.8149,sf_c_class_decay_boundary.csv,sf,0.6284042553191489,50.0,0.9438541666666667,50.0
48,96,7.27,50061,49769.4,100.59,0.53,0.6163,49906,49771.0,100.27,0.22,0.8357,sf_c_class_decay_boundary.csv,sf,0.6288775510204081,50.0,0.9438541666666667,50.0
49,98,7.42,51083,50808.8,100.54,0.49,0.6371,50982,50807.3,100.34,0.28,0.7899,sf_c_class_decay_boundary.csv,sf,0.6371,50.0,0.9438541666666667,50.0
50,100,7.58,52125,51831.2,100.57,0.53,0.6159,52002,51844.9,100.3,0.25,0.8059,sf_c_class_decay_boundary.csv,sf,0.6288775510204081,50.0,0.9438541666666667,50.0
1,2,0.15,1606,1519.3,105.71,1.87,0.0664,1556,1517.9,102.51,0.82,0.4068,sf_decay_boundary.csv,sf,0.11857142857142856,50.0,0.9931,50.0
2,4,0.3,3259,3037.5,107.29,3.03,0.0022,3044,3036.6,100.24,0.1,0.9197,sf_decay_boundary.csv,sf,0.017499999999999998,50.0,0.9931,50.0
3,6,0.45,4845,4555.4,106.36,2.94,0.0028,4540,4555.2,99.67,-0.16,0.8737,sf_decay_boundary.csv,sf,0.017499999999999998,50.0,0.9931,50.0
4,8,0.61,6385,6074.6,105.11,2.52,0.0106,6077,6074.1,100.05,0.03,0.9901,sf_decay_boundary.csv,sf,0.03928571428571428,50.0,0.9931,50.0
5,10,0.76,8002,7595.2,105.36,2.78,0.004,7662,7592.5,100.92,0.51,0.6067,sf_decay_boundary.csv,sf,0.022222222222222223,50.0,0.9931,50.0
6,12,0.91,9628,9116.4,105.61,3.09,0.0016,9206,9113.2,101.02,0.6,0.5493,sf_decay_boundary.csv,sf,0.017499999999999998,50.0,0.9931,50.0
7,14,1.06,11238,10633.0,105.69,3.24,0.0008,10736,10628.6,101.01,0.61,0.5379,sf_decay_boundary.csv,sf,0.017499999999999998,50.0,0.9931,50.0
8,16,1.21,12797,12158.2,105.25,3.12,0.0012,12234,12147.0,100.72,0.45,0.6535,sf_decay_boundary.csv,sf,0.017499999999999998,50.0,0.9931,50.0
9,18,1.36,14340,13671.5,104.89,3.01,0.002,13746,13659.6,100.63,0.41,0.6931,sf_decay_boundary.csv,sf,0.017499999999999998,50.0,0.9931,50.0
10,20,1.52,15956,15187.6,105.06,3.18,0.0012,15348,15181.4,101.1,0.72,0.466,sf_decay_boundary.csv,sf,0.017499999999999998,50.0,0.9931,50.0
11,22,1.67,17503,16711.5,104.74,3.05,0.0026,16779,16703.2,100.45,0.31,0.7721,sf_decay_boundary.csv,sf,0.017499999999999998,50.0,0.9931,50.0
12,24,1.82,18962,18226.2,104.04,2.7,0.0086,18310,18220.7,100.49,0.33,0.7589,sf_decay_boundary.csv,sf,0.03666666666666667,50.0,0.9931,50.0
13,26,1.97,20523,19749.0,103.92,2.69,0.0068,19828,19738.4,100.45,0.31,0.7753,sf_decay_boundary.csv,sf,0.033999999999999996,50.0,0.9931,50.0
14,28,2.12,22092,21265.9,103.88,2.72,0.0088,21312,21255.4,100.27,0.19,0.8745,sf_decay_boundary.csv,sf,0.03666666666666667,50.0,0.9931,50.0
15,30,2.27,23573,22779.5,103.48,2.51,0.0132,22828,22772.4,100.24,0.18,0.8819,sf_decay_boundary.csv,sf,0.044000000000000004,50.0,0.9931,50.0
16,32,2.42,25143,24307.4,103.44,2.52,0.011,24338,24292.5,100.19,0.14,0.9185,sf_decay_boundary.csv,sf,0.03928571428571428,50.0,0.9931,50.0
17,34,2.58,26621,25820.7,103.1,2.35,0.0216,25826,25807.5,100.07,0.05,0.9931,sf_decay_boundary.csv,sf,0.0675,50.0,0.9931,50.0
18,36,2.73,28139,27346.7,102.9,2.22,0.0272,27319,27331.8,99.95,-0.04,0.9363,sf_decay_boundary.csv,sf,0.07999999999999999,50.0,0.9931,50.0
19,38,2.88,29602,28859.5,102.57,1.99,0.047,28790,28845.4,99.81,-0.14,0.8617,sf_decay_boundary.csv,sf,0.10217391304347827,50.0,0.9931,50.0
20,40,3.03,31146,30384.5,102.51,1.98,0.046,30278,30369.0,99.7,-0.23,0.7833,sf_decay_boundary.csv,sf,0.10217391304347827,50.0,0.9931,50.0
21,42,3.18,32695,31895.9,102.51,2.02,0.0434,31815,31882.4,99.79,-0.16,0.8351,sf_decay_boundary.csv,sf,0.10217391304347827,50.0,0.9931,50.0
22,44,3.33,34242,33420.0,102.46,2.0,0.0434,33289,33409.5,99.64,-0.28,0.7551,sf_decay_boundary.csv,sf,0.10217391304347827,50.0,0.9931,50.0
23,46,3.48,35810,34933.5,102.51,2.09,0.0332,34814,34920.5,99.69,-0.24,0.7991,sf_decay_boundary.csv,sf,0.09222222222222222,50.0,0.9931,50.0
24,48,3.64,37305,36444.1,102.36,1.99,0.0494,36430,36441.7,99.97,-0.03,0.9461,sf_decay_boundary.csv,sf,0.10291666666666666,50.0,0.9931,50.0
25,50,3.79,38867,37973.5,102.35,2.01,0.0458,37893,37952.0,99.84,-0.13,0.8725,sf_decay_boundary.csv,sf,0.10217391304347827,50.0,0.9931,50.0
26,52,3.94,40391,39498.6,102.26,1.97,0.055,39411,39473.4,99.84,-0.13,0.8597,sf_decay_boundary.csv,sf,0.11,50.0,0.9931,50.0
27,54,4.09,41872,41002.7,102.12,1.9,0.0576,40918,40999.3,99.8,-0.16,0.8529,sf_decay_boundary.csv,sf,0.11076923076923076,50.0,0.9931,50.0
28,56,4.24,43369,42532.4,101.97,1.77,0.0812,42446,42513.8,99.84,-0.13,0.8699,sf_decay_boundary.csv,sf,0.13096774193548386,50.0,0.9931,50.0
29,58,4.39,44923,44045.4,101.99,1.8,0.0724,43990,44034.8,99.9,-0.09,0.9203,sf_decay_boundary.csv,sf,0.12482758620689656,50.0,0.9931,50.0
30,60,4.55,46444,45569.2,101.92,1.75,0.0812,45575,45550.2,100.05,0.05,0.9855,sf_decay_boundary.csv,sf,0.13096774193548386,50.0,0.9931,50.0
31,62,4.7,48010,47086.3,101.96,1.82,0.0656,47054,47051.8,100.0,0.0,0.9769,sf_decay_boundary.csv,sf,0.11857142857142856,50.0,0.9931,50.0
32,64,4.85,49498,48620.2,101.81,1.7,0.0876,48518,48585.4,99.86,-0.12,0.8719,sf_decay_boundary.csv,sf,0.136875,50.0,0.9931,50.0
33,66,5.0,50949,50128.9,101.64,1.57,0.1114,50024,50110.3,99.83,-0.15,0.8485,sf_decay_boundary.csv,sf,0.1687878787878788,50.0,0.9931,50.0
34,68,5.15,52454,51641.5,101.57,1.53,0.1282,51522,51628.6,99.79,-0.19,0.8281,sf_decay_boundary.csv,sf,0.18828571428571428,50.0,0.9931,50.0
35,70,5.3,53938,53162.7,101.46,1.42,0.1562,53018,53145.6,99.76,-0.22,0.8095,sf_decay_boundary.csv,sf,0.2110810810810811,50.0,0.9931,50.0
36,72,5.45,55497,54682.4,101.49,1.47,0.1318,54538,54656.8,99.78,-0.2,0.8241,sf_decay_boundary.csv,sf,0.18828571428571428,50.0,0.9931,50.0
37,74,5.61,56989,56198.7,101.41,1.42,0.1554,56036,56176.7,99.75,-0.23,0.7997,sf_decay_boundary.csv,sf,0.2110810810810811,50.0,0.9931,50.0
38,76,5.76,58521,57723.6,101.38,1.41,0.163,57606,57693.2,99.85,-0.14,0.8699,sf_decay_boundary.csv,sf,0.21447368421052632,50.0,0.9931,50.0
39,78,5.91,59953,59239.9,101.2,1.24,0.2134,59074,59206.8,99.78,-0.21,0.8009,sf_decay_boundary.csv,sf,0.26675,50.0,0.9931,50.0
40,80,6.06,61486,60737.1,101.23,1.29,0.1906,60534,60732.9,99.67,-0.31,0.7361,sf_decay_boundary.csv,sf,0.24435897435897433,50.0,0.9931,50.0
41,82,6.21,62967,62284.0,101.1,1.16,0.2472,62070,62253.8,99.7,-0.29,0.7469,sf_decay_boundary.csv,sf,0.2874418604651163,50.0,0.9931,50.0
