Dataset,Window,Phase,N_Simul,Count,Pct,N_Total
SG_Total,20,Conjunction,7,0,0.0,256824
SG_Total,20,Opposition,7,0,0.0,256824
SG_Total,21,Conjunction,0,110021,42.8391,256824
SG_Total,21,Opposition,0,109222,42.528,256824
SG_Total,21,Conjunction,1,97178,37.8384,256824
SG_Total,21,Opposition,1,97304,37.8874,256824
SG_Total,21,Conjunction,2,37809,14.7218,256824
SG_Total,21,Opposition,2,39429,15.3525,256824
SG_Total,21,Conjunction,3,10138,3.9475,256824
SG_Total,21,Opposition,3,9267,3.6083,256824
SG_Total,21,Conjunction,4,1526,0.5942,256824
SG_Total,21,Opposition,4,1496,0.5825,256824
SG_Total,21,Conjunction,5,147,0.0572,256824
SG_Total,21,Opposition,5,106,0.0413,256824
SG_Total,21,Conjunction,6,5,0.0019,256824
SG_Total,21,Opposition,6,0,0.0,256824
SG_Total,21,Conjunction,7,0,0.0,256824
SG_Total,21,Opposition,7,0,0.0,256824
SG_Total,22,Conjunction,0,105533,41.0916,256824
SG_Total,22,Opposition,0,104859,40.8291,256824
SG_Total,22,Conjunction,1,97938,38.1343,256824
SG_Total,22,Opposition,1,97796,38.079,256824
SG_Total,22,Conjunction,2,40166,15.6395,256824
SG_Total,22,Opposition,2,41927,16.3252,256824
SG_Total,22,Conjunction,3,11221,4.3691,256824
SG_Total,22,Opposition,3,10399,4.0491,256824
SG_Total,22,Conjunction,4,1778,0.6923,256824
SG_Total,22,Opposition,4,1700,0.6619,256824
SG_Total,22,Conjunction,5,180,0.0701,256824
SG_Total,22,Opposition,5,142,0.0553,256824
SG_Total,22,Conjunction,6,8,0.0031,256824
SG_Total,22,Opposition,6,1,0.0004,256824
SG_Total,22,Conjunction,7,0,0.0,256824
SG_Total,22,Opposition,7,0,0.0,256824
SG_Total,23,Conjunction,0,101204,39.406,256824
SG_Total,23,Opposition,0,100528,39.1428,256824
SG_Total,23,Conjunction,1,98470,38.3414,256824
SG_Total,23,Opposition,1,98286,38.2698,256824
SG_Total,23,Conjunction,2,42548,16.567,256824
SG_Total,23,Opposition,2,44237,17.2246,256824
SG_Total,23,Conjunction,3,12331,4.8013,256824
SG_Total,23,Opposition,3,11605,4.5187,256824
SG_Total,23,Conjunction,4,2033,0.7916,256824
SG_Total,23,Opposition,4,1997,0.7776,256824
SG_Total,23,Conjunction,5,226,0.088,256824
